,Date,Open,High,Low,Close,Adj Close,Volume,TotalInvested,TotalParticipations,TotalPosition
0,2004-01-31,111.73999786376952,112.19000244140624,110.7300033569336,111.2300033569336,75.38758850097656,38072300,100.0,1.3264782968711701,100.0
1,2004-02-29,113.6999969482422,114.68000030517578,113.12000274658205,113.97000122070312,77.24465942382812,38832400,200.0,2.6210661783623324,202.46336427491312
2,2004-03-31,115.43000030517578,116.33999633789062,115.25,116.16000366210938,78.72895812988281,33130800,300.0,3.8912468383810435,306.35380941194006
3,2004-04-30,113.06999969482422,113.87000274658205,113.0500030517578,113.77999877929688,77.38623809814453,45103800,400.0,5.183466262113409,401.12895433360757
4,2004-05-31,111.37000274658205,112.29000091552734,111.3499984741211,112.1500015258789,76.2776107788086,33758000,500.0,6.49446694736012,495.38242202657244
5,2004-06-30,112.45999908447266,112.86000061035156,111.87000274658205,112.70999908447266,76.6584701538086,41044700,600.0,7.798954237536387,597.8559006491022
6,2004-07-31,114.25,114.4000015258789,112.58000183105467,112.94000244140624,77.09532165527344,57734700,700.0,9.096049805113669,701.2628855176256
7,2004-08-31,110.19000244140624,111.36000061035156,110.0500030517578,111.06999969482422,75.81880950927734,38263100,800.0,10.414983729917168,789.6516674608126
8,2004-09-30,110.9499969482422,111.63999938964844,110.4800033569336,111.31999969482422,75.98944091796875,52778300,900.0,11.730956038595565,891.4287908061464
9,2004-10-31,112.26000213623048,113.6500015258789,112.20999908447266,113.6500015258789,77.90290832519531,62824300,1000.0,13.014605162227296,1013.8755928416067
10,2004-11-30,113.55999755859376,113.83999633789062,113.1999969482422,113.51000213623048,77.80693817138672,36720900,1100.0,14.29983758944,1112.6265791824296
11,2004-12-31,118.16000366210938,119.5,118.0999984741211,119.2300033569336,81.96998596191406,49898300,1200.0,15.51979631977897,1272.1574864640477
12,2005-01-31,121.55999755859376,121.76000213623048,119.9000015258789,120.3000030517578,83.09629821777344,55748000,1300.0,16.723219362017584,1389.637623267456
13,2005-02-28,118.25,119.08000183105467,118.0999984741211,118.91000366210938,82.13615417480469,49841200,1400.0,17.940710015246573,1473.580923817755
14,2005-03-31,120.81999969482422,121.5199966430664,120.77999877929688,121.2300033569336,83.73871612548828,47294400,1500.0,19.134900762691792,1602.3320230564373
15,2005-04-30,118.62999725341795,118.98999786376952,116.91000366210938,117.43000030517578,81.43245697021484,95255300,1600.0,20.36291234088323,1658.2019829872304
16,2005-05-31,116.06999969482422,116.41000366210938,115.5199966430664,116.4000015258789,80.71821594238281,56026400,1700.0,21.60179006919403,1743.6579555472244
17,2005-06-30,119.5199966430664,120.91999816894533,119.4499969482422,120.5,83.56136322021484,69611000,1800.0,22.798515399493674,1905.0750261787523
18,2005-07-31,119.4499969482422,119.8000030517578,119.20999908447266,119.52999877929688,83.22325134277344,49737500,1900.0,24.000102676925646,1997.3665773341527
19,2005-08-31,123.83000183105467,124.04000091552734,123.4499969482422,123.6500015258789,86.09182739257812,40418200,2000.0,25.16165311706209,2166.2126970660347
20,2005-09-30,122.5199966430664,123.1500015258789,121.13999938964844,122.48999786376952,85.28414916992188,74578700,2100.0,26.33420394829285,2245.890177797353
21,2005-10-31,122.95999908447266,123.33999633789062,122.4499969482422,122.5999984741211,85.72412872314453,50994800,2200.0,27.500736656055455,2357.476689084997
22,2005-11-30,120.58000183105467,120.9000015258789,120.22000122070312,120.48999786376952,84.24876403808594,66365100,2300.0,28.687697689154927,2416.903073409557
23,2005-12-31,126.0199966430664,127.02999877929688,125.9800033569336,126.69000244140624,88.58393859863281,65468200,2400.0,29.81657050269162,2641.2692506322405
24,2006-01-31,125.19000244140624,127.0,124.38999938964844,126.6999969482422,89.0605239868164,73256700,2500.0,30.93940243229943,2755.479392459569
25,2006-02-28,127.81999969482422,128.42999267578125,127.72000122070312,128.38999938964844,90.24848175048828,63561000,2600.0,32.04745431373132,2892.234095782388
26,2006-03-31,128.60000610351562,129.49000549316406,128.5,129.3699951171875,90.93734741210938,48641600,2700.0,33.1471125162828,3014.3104866014883
27,2006-04-30,130.07000732421875,130.8699951171875,129.49000549316406,129.72999572753906,91.55300903320312,61624700,2800.0,34.2393759061593,3134.71789162784
28,2006-05-31,131.47000122070312,131.8000030517578,130.32000732421875,130.39999389648438,92.0258560180664,64990300,2900.0,35.32602703147313,3250.9078772886683
29,2006-06-30,127.37999725341795,128.94000244140625,127.2699966430664,128.72999572753906,90.8473129272461,73721700,3000.0,36.426775053377575,3309.274632204594
30,2006-07-31,127.43000030517578,128.00999450683594,127.30999755859376,127.8000030517578,90.5896453857422,23914000,3100.0,37.53065397435345,3399.888634631675
31,2006-08-31,127.33999633789062,127.37999725341795,126.5999984741211,127.22000122070312,90.17853546142578,65225600,3200.0,38.63956530772474,3484.459410316733
32,2006-09-30,131.13999938964844,131.5800018310547,130.83999633789062,131.4199981689453,93.1556396484375,48794500,3300.0,39.713037621128336,3699.493421978673
33,2006-10-31,133.5399932861328,133.8300018310547,132.9499969482422,133.0800018310547,94.7471694946289,51687400,3400.0,40.768478121708874,3862.697906635621
34,2006-11-30,138.22000122070312,138.30999755859375,136.72000122070312,136.86000061035156,97.4383773803711,83005600,3500.0,41.794767789994594,4072.4143564464716
35,2006-12-31,140.52999877929688,140.66000366210938,138.97000122070312,140.22000122070312,99.8305435180664,126080000,3600.0,42.796465231238145,4272.394384686536
36,2007-01-31,142.25,142.86000061035156,140.57000732421875,141.3699951171875,101.21003723144533,94807600,3700.0,43.78450952739151,4431.431839427868
37,2007-02-28,144.14999389648438,144.66000366210938,143.91000366210938,144.61000061035156,103.5296859741211,69312400,3800.0,44.75041605998736,4632.996521901757
38,2007-03-31,139.33999633789062,141.25,138.0500030517578,140.50999450683594,100.59435272216795,212828600,3900.0,45.744507649563865,4601.639137602137
39,2007-04-30,142.16000366210938,142.4600067138672,141.47999572753906,142.16000366210938,102.1793441772461,79416400,4000.0,46.723179031781136,4774.143791343453
40,2007-05-31,148.4199981689453,149.47000122070312,147.6699981689453,148.6699981689453,106.85848236083984,134342700,4100.0,47.65899617788583,5092.768002409946
41,2007-06-30,153.8800048828125,154.39999389648438,153.50999450683594,154.0800018310547,110.74700927734376,107771700,4200.0,48.561955098876375,5378.091291861213
42,2007-07-31,150.8699951171875,151.9199981689453,150.77000427246094,151.7899932861328,109.57128143310548,103357000,4300.0,49.474602999786896,5420.9956490808145
43,2007-08-31,145.17999267578125,147.00999450683594,143.9499969482422,146.42999267578125,105.70208740234376,467670000,4400.0,50.42065811049971,5329.568810479733
44,2007-09-30,147.4499969482422,149.97999572753906,147.39999389648438,149.0800018310547,107.6150131225586,120062000,4500.0,51.34989648624672,5526.019784209466
45,2007-10-31,152.60000610351562,154.75,152.5,154.3000030517578,111.91151428222656,148162300,4600.0,52.24345958957327,5846.644674011455
46,2007-11-30,153.2899932861328,153.41000366210938,150.58999633789062,151.02999877929688,109.53983306884766,333040800,4700.0,53.15636950734855,5822.739842380944
47,2007-12-31,148.19000244140625,148.4499969482422,147.2899932861328,147.67999267578125,107.11012268066406,146430400,4800.0,54.089988081366414,5793.585259190813
48,2008-01-31,146.52999877929688,146.99000549316406,143.8800048828125,144.92999267578125,105.67351531982422,204935600,4900.0,55.03629898715342,5815.879184165384
49,2008-02-29,137.94000244140625,139.61000061035156,137.52000427246094,139.5800018310547,101.77259826660156,206843600,5000.0,56.01888174226833,5701.187146900135
50,2008-03-31,133.13999938964844,133.80999755859375,132.24000549316406,133.5,97.33949279785156,189483500,5100.0,57.0462139907286,5552.849535895226
51,2008-04-30,133.61000061035156,136.83999633789062,133.50999450683594,136.61000061035156,100.1002197265625,254547300,5200.0,58.04521279685674,5810.338555040437
52,2008-05-31,138.3800048828125,141.1199951171875,138.27000427246094,141.1199951171875,103.40487670898438,187279500,5300.0,59.01228517470438,6102.158072805733
53,2008-06-30,139.8300018310547,139.86000061035156,138.0,138.89999389648438,101.77818298339844,181069900,5400.0,59.9948140140757,6106.163158779554
54,2008-07-31,126.5199966430664,128.47000122070312,125.93000030517578,128.3800048828125,94.54022216796876,388622000,5500.0,61.052564860295746,5771.923045816683
55,2008-08-31,127.12000274658205,127.27999877929688,125.45999908447266,126.16000366210938,92.90540313720705,248690900,5600.0,62.12892852293779,5772.113150906257
56,2008-09-30,130.02999877929688,130.7100067138672,127.5199966430664,127.98999786376952,94.2530517578125,252364900,5700.0,63.18990212681594,5955.841115729889
57,2008-10-31,115.2699966430664,116.69000244140624,113.9499969482422,116.05999755859376,85.96234893798828,332783000,5800.0,64.35320212077187,5531.952415982679
58,2008-11-30,96.77999877929688,97.69000244140624,95.9499969482422,97.11000061035156,71.9266357421875,205419400,5900.0,65.74350765874306,4728.709327784126
